Month,Day,Year,Danger Message
April,28,2024,"Thank you for a great season!
Regular avalanche forecasts have ended.  We will be issuing intermittent updates through May 1st.  This most recent update is from Sunday April 28, 2024. 

During the spring, there are typically three different avalanche problems:
1. Wet Snow:  Wet loose avalanches, wet slab avalanches, and glide avalanches
2. New Snow:  New storm snow instability as soft slab avalanches and loose dry avalanches
3. Wind Drifted Snow:  Wind slabs; soft or hard drifts of wind-blown snow"
April,27,2024,"Thank you for a great season!
Regular avalanche forecasts have ended.  We will be issuing intermittent updates through May 1st.  This most recent update is from Saturday April 27, 2024. 

During the spring, there are typically three different avalanche problems:
1. Wet Snow:  Wet loose avalanches, wet slab avalanches, and glide avalanches
2. New Snow:  New storm snow instability as soft slab avalanches and loose dry avalanches
3. Wind Drifted Snow:  Wind slabs; soft or hard drifts of wind-blown snow"
April,26,2024,"Thank you for a great season!
Regular avalanche forecasts have ended.  We will be issuing intermittent updates through May 1st.  This most recent update is from Friday April 26, 2024. 

During the spring, there are typically three different avalanche problems:
1. Wet Snow:  Wet loose avalanches, wet slab avalanches, and glide avalanches
2. New Snow:  New storm snow instability as soft slab avalanches and loose dry avalanches
3. Wind Drifted Snow:  Wind slabs; soft or hard drifts of wind-blown snow"
April,25,2024,"Thank you for a great season!
Regular avalanche forecasts have ended.  We will be issuing intermittent updates through May 1st.  This most recent update is from Thursday April 25, 2024. 

During the spring, there are typically three different avalanche problems:
1. Wet Snow:  Wet loose avalanches, wet slab avalanches, and glide avalanches
2. New Snow:  New storm snow instability as soft slab avalanches and loose dry avalanches
3. Wind Drifted Snow:  Wind slabs; soft or hard drifts of wind-blown snow"
April,23,2024,"Thank you for a great season!
Regular avalanche forecasts have ended.  We will be issuing intermittent updates through May 1st.  This most recent update is from Tuesday April 23, 2024. 

During the spring, there are typically three different avalanche problems:
1. Wet Snow:  Wet loose avalanches, wet slab avalanches, and lastly glide avalanches.
2. New Snow:  New storm snow instability as soft slab avalanches and loose dry avalanches.
3. Wind Drifted Snow:  Wind slabs - soft or hard drifts of wind-blown snow."
April,18,2024,"Thank you for a great season!
Regular avalanche forecasts have ended.  We will be issuing intermittent updates through May 1st.  

During the spring, there are typically three different avalanche problems:
1. Wet Snow:  Wet loose avalanches, wet slab avalanches, and lastly glide avalanches.
2. New Snow:  New storm snow instability as soft slab avalanches and loose dry avalanches.
3. Wind Drifted Snow:  Wind slabs - soft or hard drifts of wind-blown snow."
April,16,2024,"Thank you for a great season!
Regular avalanche forecasts have ended.  We will be issuing intermittent updates through May 1st.  

During the spring, there are typically three different avalanche problems:
1. Wet Snow:  Wet loose avalanches, wet slab avalanches, and lastly glide avalanches.
2. New Snow:  New storm snow instability as soft slab avalanches and loose dry avalanches.
3. Wind Drifted Snow:  Wind slabs - soft or hard drifts of wind-blown snow."
April,15,2024,"Thank you for a great season!
Regular avalanche forecasts have ended.  We will be issuing intermittent updates through May 1st.  

During the spring, there are typically three different avalanche problems:
1. Wet Snow:  Wet loose avalanches, wet slab avalanches, and lastly glide avalanches.
2. New Snow:  New storm snow instability as soft slab avalanches and loose dry avalanches.
3. Wind Drifted Snow:  Wind slabs - soft or hard drifts of wind-blown snow."
April,14,2024,"The overall avalanche danger is LOW this morning but will quickly rise to MODERATE as strong sunshine warms steep aspects facing east, south, and west for Wet Snow. Avalanche activity may involve loose-wet avalanches, wet slab avalanches, cornice fall, and lastly glide avalanches. 


Timing is everything - move off of and out from under steep slopes once the snow becomes wet and unsupportable.

Slide-for-life conditions do exist on some upper-elevation terrain where the snow is hard and frozen."
April,13,2024,"The overall avalanche danger is LOW this morning but quickly rises to MODERATE on steep aspects facing east, south, and west for Wet Snow. Avalanche activity may involve loose-wet snow avalanches and larger wet slabs. Both natural and human-triggered cornice falls are possible. 


Timing is everything - move off of and out from under steep slopes once the snow becomes wet and unsupportable."
April,12,2024,"The overall avalanche danger is MODERATE at low and mid-elevations. Avalanche activity may involve smaller loose-wet snow avalanches and larger wet slabs. Winds should keep the snow surface cool at the upper elevations where there is a LOW danger. Both natural and human-triggered cornice falls are possible.



Timing is everything - move off of steep slopes once the snow becomes wet and unsupportable."
April,11,2024,"The overall avalanche danger is LOW this morning but will rise to MODERATE on the southern end of the compass and some low-elevation northerlies as the day warms up.

Pay attention to changing conditions and avoid being on steep solar aspects if the snow has become wet and unsupportable. Steer clear of being on or under large overhanging cornices, which may break back further than expected and may also trigger an avalanche below."
