date,description,source
12/14/2024,"Steer around harder drifts of snow on steep slopes. There is a small chance you can trigger an avalanche that breaks at the surface or deeper in the snowpack on older, buried weak layers. Avoid wind-loaded places on easterly aspects close to ridgelines.
Steer around harder drifts of snow on steep slopes. There is a small chance you can trigger an avalanche that breaks at the surface or deeper in the snowpack on older, buried weak layers. Avoid wind-loaded places on easterly aspects close to ridgelines.",caic
11/25/2024,"You might find isolated areas of drifted snow and trigger a small avalanche. Look for and avoid drifted pillows of snow on steep slopes at upper elevations, especially just below ridges. Shooting cracks in drifted snow are a clear sign of instability. Stick to slopes less than about 35 degrees or slopes sheltered from the wind if you observe unstable snow.You should expect a rapid increase in avalanche danger as a potent winter storm brings heavy snow beginning on Monday night.
You might find isolated areas of drifted snow and trigger a small avalanche. Look for and avoid drifted pillows of snow on steep slopes at upper elevations, especially just below ridges. Shooting cracks in drifted snow are a clear sign of instability. Stick to slopes less than about 35 degrees or slopes sheltered from the wind if you observe unstable snow.
You should expect a rapid increase in avalanche danger as a potent winter storm brings heavy snow beginning on Monday night.",caic
11/24/2024,"Most slopes are too wind-hammered or lack the weak snow and connected slab combination necessary for large avalanches. You might trigger a small avalanche where dense drifts resting on weak snow formed at upper elevations. Look for and avoid thick, hollow-sounding drifts on steep slopes below ridgelines and inside gullies.
Most slopes are too wind-hammered or lack the weak snow and connected slab combination necessary for large avalanches. You might trigger a small avalanche where dense drifts resting on weak snow formed at upper elevations. Look for and avoid thick, hollow-sounding drifts on steep slopes below ridgelines and inside gullies.",caic
11/23/2024,"Most slopes are too wind-hammered or lack the weak snow and connected slab combination necessary for large avalanches. You might trigger a small avalanche where dense drifts resting on weak snow formed at upper elevations. Take care where you see thick, hollow-sounding drifts on steep slopes below ridgelines and inside gullies.
Most slopes are too wind-hammered or lack the weak snow and connected slab combination necessary for large avalanches. You might trigger a small avalanche where dense drifts resting on weak snow formed at upper elevations. Take care where you see thick, hollow-sounding drifts on steep slopes below ridgelines and inside gullies.",caic
11/22/2024,"Most slopes are either too wind hammered or lack snow and a connected slab for large avalanches. Use caution at higher elevations around open ridgelines or unsupported slopes above cliffs, where stiff snow or smooth-looking drifts have formed.
Most slopes are either too wind hammered or lack snow and a connected slab for large avalanches. Use caution at higher elevations around open ridgelines or unsupported slopes above cliffs, where stiff snow or smooth-looking drifts have formed.",caic
11/19/2024,"In most places, there isn't enough snow for avalanches or there isn't a thick enough slab. The exception is upper-elevation slopes or gullies that are filled in with drifted snow. These slopes most likely face north, northeast, or east and sit directly below ridgetop. If you find hard-feeling, impenetrable snow, consider avoiding these areas and stick to places that weren't affected by recent winds.
In most places, there isn't enough snow for avalanches or there isn't a thick enough slab. The exception is upper-elevation slopes or gullies that are filled in with drifted snow. These slopes most likely face north, northeast, or east and sit directly below ridgetop. If you find hard-feeling, impenetrable snow, consider avoiding these areas and stick to places that weren't affected by recent winds.",caic
11/18/2024,"In most places, there isn't enough snow for avalanches or there isn't a thick enough slab. The exception is upper-elevation slopes or gullies that are filled in with drifted snow. These slopes most likely face north, northeast, or east and sit directly below ridgetop. If you find hard-feeling, impenetrable snow, consider avoiding these areas and stick to places that weren't affected by recent winds.
In most places, there isn't enough snow for avalanches or there isn't a thick enough slab. The exception is upper-elevation slopes or gullies that are filled in with drifted snow. These slopes most likely face north, northeast, or east and sit directly below ridgetop. If you find hard-feeling, impenetrable snow, consider avoiding these areas and stick to places that weren't affected by recent winds.",caic
11/17/2024,"You might trigger a small avalanche in drifted snow on steep, high-elevation slopes. The most likely place to find problematic snow is on north and easterly-facing slopes just below ridgelines and in gully features. Dense, hollow-sounding slabs or cracking in drifted snow are signs to stick to low-angle slopes.
You might trigger a small avalanche in drifted snow on steep, high-elevation slopes. The most likely place to find problematic snow is on north and easterly-facing slopes just below ridgelines and in gully features. Dense, hollow-sounding slabs or cracking in drifted snow are signs to stick to low-angle slopes.",caic
11/12/2024,"Most terrain is safe to travel, but you could trigger an avalanche on slopes with wind-drifted snow. Look for and avoid pillows of firmer snow that may crack under your weight. The avalanche you trigger will be small, but they could still be dangerous in steep, consequential terrain or above a gully.
Most terrain is safe to travel, but you could trigger an avalanche on slopes with wind-drifted snow. Look for and avoid pillows of firmer snow that may crack under your weight. The avalanche you trigger will be small, but they could still be dangerous in steep, consequential terrain or above a gully.",caic
11/5/2024,"Most slopes will be safe to travel on as there is not much snow. If you find continuous snow, avoid slopes with rounded pillows. If the snow is firm and hollow, you could trigger an avalanche. You are most likely to find this in gullies and close to ridgelines. Avalanches will likely be small but may push you into still-exposed rocks. If you experience cracking or collapsing, move to lower-angle slopes or slopes without a slab.
Most slopes will be safe to travel on as there is not much snow. If you find continuous snow, avoid slopes with rounded pillows. If the snow is firm and hollow, you could trigger an avalanche. You are most likely to find this in gullies and close to ridgelines. Avalanches will likely be small but may push you into still-exposed rocks. If you experience cracking or collapsing, move to lower-angle slopes or slopes without a slab.",caic
