,0
0,"
December 24, 2020 at 7:00 While a small slab of wind drifted snow or a soft slab above old weak snow may still lurk on an isolated piece of terrain, avalanches are unlikely overall. Icy scoured surfaces and variable uneven snow could make travel challenging. The avalanche danger will remain LOW for today and tomorrow. Expect an increase in avalanche danger Friday night and Saturday as new snow and wind impact the forecast area. This forecast will be updated at 7am on Saturday.
"
1,"
December 23, 2020 at 6:58 A shallow and generally weak snowpack structure continues across the forecast region.  The persistent slab and wind slab avalanche problems have become unlikely on a regional scale.  LOW avalanche danger exists at all elevations.
"
2,"
December 11, 2020 at 6:51 Today, avoiding obstacles and dealing with variable snow surfaces still remains the primary concern for backcountry travelers. Things will change during the night as new snow and wind will create avalanche problems on top of the shallow snowpack. The avalanche danger remains LOW at all elevations today, but it will INCREASE tonight and tomorrow. 
"
3,"
December 10, 2020 at 6:59 For now, collisions with exposed and barely covered obstacles and challenging travel conditions resulting from variable snow surfaces still represent the main concern in the backcountry. Travel using normal caution. The avalanche danger remains LOW at all elevations. 
"
4,"
December 9, 2020 at 6:48 Early season conditions with a thin snowpack and numerous obstacles to potentially hit will remain the greatest hazard today.  LOW avalanche danger continues with normal caution advised if traveling in the backcountry.  
"
5,"
December 8, 2020 at 6:50 LOW avalanche danger continues throughout the forecast region.  Caution is advised when traveling in the backcountry due to the early season conditions and thin snowpack.
"
6,"
December 7, 2020 at 6:55 Some minor amounts of drifting snow may occur today.  Small avalanches remain unlikely but are not impossible in isolated areas where drifting snow deposits. Regional scale LOW avalanche danger exists for all elevations.
"
7,"
December 6, 2020 at 6:56 Some minor amounts of drifting snow may occur but avalanches remain unlikely. Normal caution is advised. LOW avalanche danger continues for all elevations.
"
8,"
December 5, 2020 at 6:49 Backcountry travel in the shallow early season snowpack means dealing with highly variable snow surface conditions and numerous exposed and barely covered obstacles. Travel using normal caution. The avalanche danger remains LOW at all elevations. 
"
9,"
December 4, 2020 at 6:48 Exposed and barely covered obstacles abound in the backcountry due to the shallow early season snow conditions. These obstacles combined with the variable snow surfaces can lead to ""interesting"" (an optimistic word for challenging) backcountry travel conditions. Travel using normal caution. The avalanche danger remains LOW at all elevations. 
"
10,"
December 3, 2020 at 6:48 Variable snow surfaces and shallow early season conditions with lots of exposed and barely covered obstacles exist in the backcountry. Travel using normal caution. The avalanche danger remains LOW at all elevations. 
"
11,"
December 2, 2020 at 6:49 If your heading into the backcountry, be prepared for early season conditions with a thin and variable snowpack.  LOW avalanche danger exists with avalanche activity unlikely.  Normal caution is advised.  
"
12,"
December 1, 2020 at 6:50 LOW avalanche danger continues across the forecast region with no avalanche activity expected.  Early season conditions exist, normal caution is advised.
"
13,"
November 30, 2020 at 6:51 Normal caution tactics are advised for any travel in avalanche terrain at this time. Anticipate shallow snowcover, early season conditions. Avalanche danger is LOW for all elevations.
"
14,"
November 29, 2020 at 6:50 Normal caution tactics are advised for any travel in avalanche terrain at this time. Anticipate shallow snowcover, early season conditions. Avalanche danger is LOW for all elevations.
"
15,"
November 28, 2020 at 6:51 Backcountry travelers should expect variable snow surfaces and shallow early season conditions with lots of exposed and barely covered obstacles. Travel using normal caution. LOW avalanche danger exists at all elevations. 
"
16,"
November 27, 2020 at 6:48 Shallow early season conditions with lots of exposed and barely covered obstacles and firm scoured snow surfaces in some places will represent today's main concerns. LOW avalanche danger exists at all elevations. Normal caution is advised 
"
17,"
November 25, 2020 at 6:50 Early season conditions exist with limited terrain available for over the snow recreation.  LOW avalanche danger continues throughout the forecast region, normal caution is advised.  This forecast is valid for 2 days and will be updated on Friday November 27 by 7am.
"
18,"
November 24, 2020 at 6:52 LOW avalanche danger continues with normal caution advised when traveling in the backcountry.  Early season conditions exist with thin snow coverage throughout the forecast region.
"
19,"
November 23, 2020 at 6:52 Avalanche danger is LOW for all elevations. Normal caution is advised. The existing shallow snowcover is supportable. Buried obstacles are avoidable for the most part, but still easy to hit.
"
20,"
November 22, 2020 at 6:59 Stable snow is present in the vast majority of locations around the forecast area. The flip side is that very, very isolated areas of unstable snow may still exist. Use normal caution tactics to minimize the consequences of an unlikely and unexpected avalanche. Regional scale LOW avalanche danger exists at all elevations.
"
21,"
November 21, 2020 at 6:55 Shallow early season conditions with lots of exposed and barely covered obstacles to hit will represent today's main concern. Avalanche activity has become unlikely on a regional scale. Unlikely does not mean impossible and overhangs of snow along ridges or a patch of unstable snow on an isolated terrain feature could still cause trouble today. LOW avalanche danger exists at all elevations. 
"
22,"
April 14, 2020 at 6:45 Loose wet avalanche problems will develop quickly today in wind protected areas. Wet slab avalanches also warrant consideration. LOW avalanche danger very early this morning will increase to MODERATE avalanche danger as the morning progresses.
"
23,"
April 13, 2020 at 6:58 Firm snow surfaces this morning should melt to soft wet snow in response to strong April sun despite today's cooler temperatures. Sluffs of wet snow could become possible on steep sunny slopes. In addition to these loose wet avalanches, wet slab avalanches also warrant consideration. The avalanche danger is LOW this morning and will increase to MODERATE this afternoon.
"
24,"
April 12, 2020 at 7:00 Cooler weather and some cloud cover should make avalanche activity unlikely this morning. In areas that see sunshine or rain on snow this afternoon, some loose wet avalanches may become possible. The avalanche danger is LOW this morning and may increase to MODERATE this afternoon below 8000 ft. 
"
25,"
April 3, 2020 at 7:00 Mostly sunny skies with mild temperatures will allow small loose wet instabilities to develop throughout the day.  Overall, LOW avalanche danger will exist at all elevations.  Avalanche danger is expected to rise over the weekend as a storm impacts our region.
"
26,"
March 13, 2020 at 6:44 Small loose wet instabilities could form today as daytime warming occurs.  LOW avalanche danger will continue at all elevations.  Avalanche danger is expected to rise tomorrow as a large storm impacts our region
"
27,"
March 12, 2020 at 6:59 While significant avalanche activity should remain unlikely today, some small wet snow instabilities are not impossible as the day warms up on isolated terrain features especially in areas where more snow accumulated during the last storm. LOW avalanche danger exists at all elevations.
"
