Month,Day,Year,Message,Source
2,4,2025,"Slopes with recently drifted snow are the most hazardous. Avalanches in recently drifted snow can step down to the ground and grow even larger. You will find these areas below ridgelines and along gullies. Shallow slopes with exposed rocks and trees are the most likely place to find a weak area and trigger a deeper avalanche. You will not get any warning signs, and multiple people could ride a slope before you find a weak area. You can find safer riding on slopes protected from the wind and slopes less than about 30 degrees.Above-freezing temperatures tomorrow will likely cause the snow to become wet and sluff off steep, sunny slopes. Avalanches could gouge deeper into the snowpack and grow larger as they run. If you sink to your ankles in wet, gloppy snow or see rollerballs, avoid being on, or below, steep slopes.
Slopes with recently drifted snow are the most hazardous. Avalanches in recently drifted snow can step down to the ground and grow even larger. You will find these areas below ridgelines and along gullies. Shallow slopes with exposed rocks and trees are the most likely place to find a weak area and trigger a deeper avalanche. You will not get any warning signs, and multiple people could ride a slope before you find a weak area. You can find safer riding on slopes protected from the wind and slopes less than about 30 degrees.
Above-freezing temperatures tomorrow will likely cause the snow to become wet and sluff off steep, sunny slopes. Avalanches could gouge deeper into the snowpack and grow larger as they run. If you sink to your ankles in wet, gloppy snow or see rollerballs, avoid being on, or below, steep slopes.",caic
2,3,2025,"Slopes with recently drifted snow are the most hazardous. Trigging an avalanche in rounded pillows of firm snow at the surface could penetrate deeper weak layers. You are most likely to trigger a deeper slide on steep, rocky slopes connected to drifted snow. Multiple people could ride a slope before a slide is triggered. You can find safer riding on slopes protected from the wind and lower-angled slopes.Sunny skies and above-freezing temperatures tomorrow will likely cause the snow to become wet and sluff off steep, sunny slopes. These avalanches could gouge deeper into the snowpack and grow larger as they run. If you sink up to your ankles in wet, gloppy surface snow or see rollerballs, you should steer clear of steep slopes.
Slopes with recently drifted snow are the most hazardous. Trigging an avalanche in rounded pillows of firm snow at the surface could penetrate deeper weak layers. You are most likely to trigger a deeper slide on steep, rocky slopes connected to drifted snow. Multiple people could ride a slope before a slide is triggered. You can find safer riding on slopes protected from the wind and lower-angled slopes.
Sunny skies and above-freezing temperatures tomorrow will likely cause the snow to become wet and sluff off steep, sunny slopes. These avalanches could gouge deeper into the snowpack and grow larger as they run. If you sink up to your ankles in wet, gloppy surface snow or see rollerballs, you should steer clear of steep slopes.",caic
2,2,2025,"Slopes with recently drifted snow will be the most hazardous. If you trigger an avalanche in rounded pillows of firm snow at the surface, they could penetrate deeper weak layers. You will likely trigger a deeper slide on steep, rocky slopes connected to drifted snow. Multiple people could ride a slope before a slide is triggered. You can find safer riding on slopes protected from the wind and lower-angled slopes.
Slopes with recently drifted snow will be the most hazardous. If you trigger an avalanche in rounded pillows of firm snow at the surface, they could penetrate deeper weak layers. You will likely trigger a deeper slide on steep, rocky slopes connected to drifted snow. Multiple people could ride a slope before a slide is triggered. You can find safer riding on slopes protected from the wind and lower-angled slopes.",caic
2,1,2025,"Slopes with recently drifted snow will be the most hazardous. If you trigger an avalanche in rounded pillows of firm snow at the surface, they could penetrate deeper weak layers. You will likely trigger a deeper slide on steep, rocky slopes connected to drifted snow. Multiple people could ride a slope before a slide is triggered. You can find safer riding on slopes protected from the wind and lower-angled slopes.If you travel below the treeline on more open, steep terrain that is shallow and rocky, you could still trigger a small slide that could push you into a terrain trap.
Slopes with recently drifted snow will be the most hazardous. If you trigger an avalanche in rounded pillows of firm snow at the surface, they could penetrate deeper weak layers. You will likely trigger a deeper slide on steep, rocky slopes connected to drifted snow. Multiple people could ride a slope before a slide is triggered. You can find safer riding on slopes protected from the wind and lower-angled slopes.
If you travel below the treeline on more open, steep terrain that is shallow and rocky, you could still trigger a small slide that could push you into a terrain trap.",caic
1,31,2025,"Slopes with recently drifted snow will be the most hazardous. If you trigger an avalanche in rounded pillows of firm snow at the surface, they could penetrate deeper weak layers. You will likely trigger a deeper slide on steep, rocky slopes connected to drifted snow. Multiple people could ride a slope before a slide is triggered. You can find safer riding on slopes protected from the wind and lower-angled slopes.If you travel below the treeline on more open, steep terrain that is shallow and rocky, you could still trigger a small slide that could push you into a terrain trap.
Slopes with recently drifted snow will be the most hazardous. If you trigger an avalanche in rounded pillows of firm snow at the surface, they could penetrate deeper weak layers. You will likely trigger a deeper slide on steep, rocky slopes connected to drifted snow. Multiple people could ride a slope before a slide is triggered. You can find safer riding on slopes protected from the wind and lower-angled slopes.
If you travel below the treeline on more open, steep terrain that is shallow and rocky, you could still trigger a small slide that could push you into a terrain trap.",caic
1,30,2025,"Avoid recently wind-drifted slopes to reduce your risk of avalanches. Recently drifted snow sits on shallowly buried weak layers. You can trigger an avalanche about a foot deep on this layer that then gouges deeper into the snowpack, resulting in a more destructive avalanche. Although the most likely place to trigger avalanches is on wind-drifted slopes that face north through east to southeast, be careful anywhere you find drifted snow, such as on cross-loaded westerly-facing slopes in the Gore Range.Although the avalanche danger is LOW (Level 1 of 5) below treeline, consider avoiding very steep and rocky slopes with a shallow snowpack. You can trigger small avalanches that gouge into the weak snow and become larger.
Avoid recently wind-drifted slopes to reduce your risk of avalanches. Recently drifted snow sits on shallowly buried weak layers. You can trigger an avalanche about a foot deep on this layer that then gouges deeper into the snowpack, resulting in a more destructive avalanche. Although the most likely place to trigger avalanches is on wind-drifted slopes that face north through east to southeast, be careful anywhere you find drifted snow, such as on cross-loaded westerly-facing slopes in the Gore Range.
Although the avalanche danger is LOW (Level 1 of 5) below treeline, consider avoiding very steep and rocky slopes with a shallow snowpack. You can trigger small avalanches that gouge into the weak snow and become larger.",caic
1,29,2025,"Avoid recently wind-drifted slopes to reduce your risk of avalanches. Recently drifted snow sits on shallowly buried weak layers. You can trigger an avalanche about a foot deep on this layer that then gouges deeper into the snowpack, resulting in a more destructive avalanche. Although the most likely place to trigger avalanches is on wind-drifted slopes that face north through east to southeast, be careful anywhere you find drifted snow, such as on cross-loaded westerly-facing slopes in the Gore Range.
Avoid recently wind-drifted slopes to reduce your risk of avalanches. Recently drifted snow sits on shallowly buried weak layers. You can trigger an avalanche about a foot deep on this layer that then gouges deeper into the snowpack, resulting in a more destructive avalanche. Although the most likely place to trigger avalanches is on wind-drifted slopes that face north through east to southeast, be careful anywhere you find drifted snow, such as on cross-loaded westerly-facing slopes in the Gore Range.",caic
1,28,2025,"You can trigger a slide in recently drifted snow. A cohesive slab is resting on weak snow about a foot below the surface. A more deadly concern is if slides step down 2 or 3 feet to weak snow closer to the ground. Steep rocky areas connected to drifted slopes are where you are most likely to trigger a larger avalanche. You might see cracking in the snow warning you of a surface slab, but you won't see any warning signs before you trigger a larger slide. Multiple people could travel on a slope before you find a weaker area and trigger a deadly avalanche. Small slides near the surface can trigger larger avalanches. You can find safer travel on lower-angled slopes and those sheltered from the wind.
You can trigger a slide in recently drifted snow. A cohesive slab is resting on weak snow about a foot below the surface. A more deadly concern is if slides step down 2 or 3 feet to weak snow closer to the ground. Steep rocky areas connected to drifted slopes are where you are most likely to trigger a larger avalanche. You might see cracking in the snow warning you of a surface slab, but you won't see any warning signs before you trigger a larger slide. Multiple people could travel on a slope before you find a weaker area and trigger a deadly avalanche. Small slides near the surface can trigger larger avalanches. You can find safer travel on lower-angled slopes and those sheltered from the wind.",caic
1,27,2025,"You can trigger a slide in recently drifted snow. A cohesive slab is resting on weak snow about a foot below the surface. A more deadly concern is if slides step down 2 or 3 feet to weak snow closer to the ground. Steep rocky areas connected to drifted slopes are where you are most likely to trigger a larger avalanche. You might see cracking in the snow warning you of a surface slab, but you won't see any warning signs before you trigger a larger slide. Multiple people could travel on a slope before you find a weaker area and trigger a deadly avalanche. Small slides near the surface can trigger larger avalanches. You can find safer travel on lower-angled slopes and those sheltered from the wind.
You can trigger a slide in recently drifted snow. A cohesive slab is resting on weak snow about a foot below the surface. A more deadly concern is if slides step down 2 or 3 feet to weak snow closer to the ground. Steep rocky areas connected to drifted slopes are where you are most likely to trigger a larger avalanche. You might see cracking in the snow warning you of a surface slab, but you won't see any warning signs before you trigger a larger slide. Multiple people could travel on a slope before you find a weaker area and trigger a deadly avalanche. Small slides near the surface can trigger larger avalanches. You can find safer travel on lower-angled slopes and those sheltered from the wind.",caic
1,26,2025,"You can trigger a slide in recently drifted snow near the surface. A more deadly concern is if slides step down 2 or 3 feet to the ground and take the whole season's snowpack with them. Steep rocky areas connected to drifted slopes are where you are most likely to trigger a larger avalanche. You might see cracking in the snow warning you of a surface slab, but you won't see any warning signs before you trigger a larger slide. Multiple people could travel on a slope before you find a weaker area and trigger a deadly avalanche. Small slides near the surface can trigger larger avalanches. You can find safer travel on lower-angled slopes and those sheltered from the wind.
You can trigger a slide in recently drifted snow near the surface. A more deadly concern is if slides step down 2 or 3 feet to the ground and take the whole season's snowpack with them. Steep rocky areas connected to drifted slopes are where you are most likely to trigger a larger avalanche. You might see cracking in the snow warning you of a surface slab, but you won't see any warning signs before you trigger a larger slide. Multiple people could travel on a slope before you find a weaker area and trigger a deadly avalanche. Small slides near the surface can trigger larger avalanches. You can find safer travel on lower-angled slopes and those sheltered from the wind.",caic
1,25,2025,"Steep rocky areas connected to more extensive wind-drifted slopes are where you are most likely to trigger a deadly slide. If you trigger an avalanche, it will take the whole season's snowpack. You will not get any warning, and multiple people could travel on a slope before you find a weaker area that could trigger an avalanche. Avoid areas of wind-drifted snow. You could trigger an avalanche in these pillows that steps down to deeper weak layers. You can find safer travel on lower-angled slopes and those sheltered from the wind.
Steep rocky areas connected to more extensive wind-drifted slopes are where you are most likely to trigger a deadly slide. If you trigger an avalanche, it will take the whole season's snowpack. You will not get any warning, and multiple people could travel on a slope before you find a weaker area that could trigger an avalanche. Avoid areas of wind-drifted snow. You could trigger an avalanche in these pillows that steps down to deeper weak layers. You can find safer travel on lower-angled slopes and those sheltered from the wind.",caic
1,23,2025,"You can trigger an avalanche in newly drifted snow, so avoid rounded pillows of firm snow close to ridgelines and along gully walls. A more deadly concern is if you trigger a surface avalanche that steps down to weak snow at the ground, causing an unsurvivable slide. You will not get any warning about this type of slide, and multiple people could put tracks on a slope before you find the weak area. Steep rocky slopes with many trigger points will be the most dangerous. You can find safer riding on lower-angled slopes.
You can trigger an avalanche in newly drifted snow, so avoid rounded pillows of firm snow close to ridgelines and along gully walls. A more deadly concern is if you trigger a surface avalanche that steps down to weak snow at the ground, causing an unsurvivable slide. You will not get any warning about this type of slide, and multiple people could put tracks on a slope before you find the weak area. Steep rocky slopes with many trigger points will be the most dangerous. You can find safer riding on lower-angled slopes.",caic
1,22,2025,"Westerly winds continue to drift snow into slabs on easterly-facing slopes. You can trigger an avalanche in this drifted snow. Steep wind-loaded east-facing slopes that sit directly below ridgetop are the most likely places to trigger an avalanche. Avalanches in drifted snow can grow large as they step down to more deeply buried weak layers. You are unlikely to get any warning signs like cracking or collapsing before triggering one of these deadly slides. To lower your chances of triggering an avalanche, stick to slopes sheltered from the wind with softer snow
Westerly winds continue to drift snow into slabs on easterly-facing slopes. You can trigger an avalanche in this drifted snow. Steep wind-loaded east-facing slopes that sit directly below ridgetop are the most likely places to trigger an avalanche. Avalanches in drifted snow can grow large as they step down to more deeply buried weak layers. You are unlikely to get any warning signs like cracking or collapsing before triggering one of these deadly slides. To lower your chances of triggering an avalanche, stick to slopes sheltered from the wind with softer snow",caic
1,21,2025,"Avoid steep, recently drifted slopes. You can tell which ones these are by the relatively harder surface snow. You can trigger avalanches in the drifted snow or larger, destructive avalanches that break near the ground. You are unlikely to get any warning signs like cracking and collapsing before you trigger a deadly slide. North through east to southeast-facing steep slopes that sit directly below ridgetop are most prone to wind loading and are the most dangerous. Stick to slopes sheltered from the wind, with softer snow, to reduce your risk of avalanches.
Avoid steep, recently drifted slopes. You can tell which ones these are by the relatively harder surface snow. You can trigger avalanches in the drifted snow or larger, destructive avalanches that break near the ground. You are unlikely to get any warning signs like cracking and collapsing before you trigger a deadly slide. North through east to southeast-facing steep slopes that sit directly below ridgetop are most prone to wind loading and are the most dangerous. Stick to slopes sheltered from the wind, with softer snow, to reduce your risk of avalanches.",caic
1,20,2025,"You can trigger a deadly avalanche on any slope with a buried weak layer. Riders continue to trigger avalanches from a distance and below. You are unlikely to get any warning signs like cracking and collapsing before you trigger a deadly slide. Slopes with shallower snow will be the easiest place to trigger slides, but slopes with thick drifts will produce the deadliest ones.Be cautious when you find more than 8 inches of recent or wind-drifted snow that may crack beneath you. Small slides near the surface can easily trigger larger avalanches that break near the ground. To avoid this tricky mix, stick to slopes less than about 30 degrees that aren't connected to steep slopes above. Below treeline, wind-sheltered terrain offers safer travel too.
You can trigger a deadly avalanche on any slope with a buried weak layer. Riders continue to trigger avalanches from a distance and below. You are unlikely to get any warning signs like cracking and collapsing before you trigger a deadly slide. Slopes with shallower snow will be the easiest place to trigger slides, but slopes with thick drifts will produce the deadliest ones.
Be cautious when you find more than 8 inches of recent or wind-drifted snow that may crack beneath you. Small slides near the surface can easily trigger larger avalanches that break near the ground. To avoid this tricky mix, stick to slopes less than about 30 degrees that aren't connected to steep slopes above. Below treeline, wind-sheltered terrain offers safer travel too.",caic
12,26,2024,"You can trigger an avalanche on drifted slopes that face north through east to southeast. Steep, drifted slopes below ridgelines are the most dangerous areas. You can recognize drifted slopes by their smooth, pillow-like appearance. Avoid these areas and seek out wind-sheltered slopes as a safer option.You probably won't notice obvious signs of instability like shooting cracks and audible collapses until the storm intensifies. These signs are an indication that conditions are becoming more dangerous. Areas with more than about eight inches of new snow are more dangerous.
You can trigger an avalanche on drifted slopes that face north through east to southeast. Steep, drifted slopes below ridgelines are the most dangerous areas. You can recognize drifted slopes by their smooth, pillow-like appearance. Avoid these areas and seek out wind-sheltered slopes as a safer option.
You probably won't notice obvious signs of instability like shooting cracks and audible collapses until the storm intensifies. These signs are an indication that conditions are becoming more dangerous. Areas with more than about eight inches of new snow are more dangerous.",caic
12,25,2024,"Light winds and a few inches of snow aren't enough to increase the danger. You can trigger an avalanche in drifted snow below steep ridgelines and convex rollovers. Look out for problematic drifts on alpine slopes that face northeast through east to southeast. Intense winds drifted snow into dense slabs on some slopes but completely scoured others. Right now, many of the most enticing places to ride are where you find problematic drifts. Hollow-sounding snow or cracking in the snow are signs to avoid steep slopes. Although, you probably won't see any warning signs before you trigger an avalanche.On shady and sheltered slopes at lower elevations, the snow is cohesionless and can sluff off of very steep slopes. These can be dangerous if you're above a gully or cliff.
Light winds and a few inches of snow aren't enough to increase the danger. You can trigger an avalanche in drifted snow below steep ridgelines and convex rollovers. Look out for problematic drifts on alpine slopes that face northeast through east to southeast. Intense winds drifted snow into dense slabs on some slopes but completely scoured others. Right now, many of the most enticing places to ride are where you find problematic drifts. Hollow-sounding snow or cracking in the snow are signs to avoid steep slopes. Although, you probably won't see any warning signs before you trigger an avalanche.
On shady and sheltered slopes at lower elevations, the snow is cohesionless and can sluff off of very steep slopes. These can be dangerous if you're above a gully or cliff.",caic
12,24,2024,"You can trigger avalanches below ridgelines and near convex rollovers. This is particularly true for slopes that face northeast through east to southeast. Winds drifted snow into firm slabs on these aspects. Look for and avoid rounded pillows of hollow-feeling snow. You will probably not see any warning signs before you trigger an avalanche.You may be able to trigger loose avalanches made up of weak faceted grains in steep north-facing areas. You can identify these spots because the snowpack is cohesionless from top to bottom.
You can trigger avalanches below ridgelines and near convex rollovers. This is particularly true for slopes that face northeast through east to southeast. Winds drifted snow into firm slabs on these aspects. Look for and avoid rounded pillows of hollow-feeling snow. You will probably not see any warning signs before you trigger an avalanche.
You may be able to trigger loose avalanches made up of weak faceted grains in steep north-facing areas. You can identify these spots because the snowpack is cohesionless from top to bottom.",caic
