Month,Day,Year,Message,Source
1,5,2021,"January 5, 2021 at 6:59 Heavy and wet new snow has loaded our weak snowpack structure.  Human triggered persistent slab and wind slab avalanches remain a concern for today.  Just because the storm has ended and it's a sunny day, doesn't mean that avalanches can't occur.  CONSIDERABLE avalanche danger will exist at all elevations.",SAC
12,29,2020,"December 29, 2020 at 6:58 Dangerous avalanche conditions continue with persistent slab and wind slab avalanche problems.  Multiple human triggered avalanches have occurred since our last storm 3 days ago.  CONSIDERABLE avalanche danger exists at all elevations.  Advanced terrain management skills are required to avoid these avalanche problems today.",SAC
12,28,2020,"December 28, 2020 at 6:59 Dangerous avalanche conditions continue today following two consecutive days of avalanche activity. It is still not time to go big. Conservative, sub 30 degree slope angle terrain choices are highly recommended. Persistent slab and wind slab avalanches continue to occur and are stabilizing at slower than typical rates. CONSIDERABLE avalanche danger continues at all elevations.",SAC
12,27,2020,"December 27, 2020 at 6:59 Unstable conditions are expected to continue today with a slower than typical post-storm stabilization process. Both persistent slab and wind slab avalanches occurred yesterday and could be triggered again today. Conservative, sub 30 degree slope angle terrain choices are highly recommended for today. Today is not the day to go big. Avalanche danger remains CONSIDERABLE for all elevations.",SAC
12,26,2020,"December 26, 2020 at 7:00 Strong winds and heavy snow will bring back dangerous avalanche conditions. The slabs of new snow will likely overload the old weak layers in sheltered areas. In wind-loaded areas, fragile slabs of wind drifted snow will exist. The complicated avalanche conditions mean that advanced route finding and decision making skills are required for backcountry travel. Traveling on slopes less steep than 30 degrees not connected to steeper slopes represents a safer choice. CONSIDERABLE avalanche danger exists at all elevations.",SAC
12,17,2020,"December 17, 2020 at 6:59 New wind and snow will add weight to an already unstable snowpack. Expect fragile slabs of wind drifted snow on wind-loaded slopes and unstable slabs of recent snow on old weak snow in more sheltered areas. This complicated mix of avalanche problems will result in dangerous conditions in the backcountry today. Large human triggered avalanches are likely. CONSIDERABLE avalanche danger exists at all elevations. Advanced route finding and decision making skills are required to avoid today's avalanche problems.",SAC
12,16,2020,"December 16, 2020 at 6:54 A weak snowpack structure exists throughout most of the forecast region with a buried persistent weak layer below the recent storm snow.  CONSIDERABLE avalanche danger continues due to this persistent slab avalanche problem and the possibility of human triggered avalanches.  Advanced route finding and backcountry decision making skills are required to avoid this avalanche problem.  Avalanche danger is expected to further rise into tomorrow as a winter storm impacts our area.",SAC
12,15,2020,"December 15, 2020 at 6:54 Dangerous avalanche conditions continue with persistent slab and wind slab avalanche problems.  An unstable weak layer is buried in a large part of the usable terrain in our area.  CONSIDERABLE avalanche danger exists at all elevations.  Advanced route finding and decision making skills are required to avoid todays avalanche problems.",SAC
12,14,2020,"December 14, 2020 at 6:50 The current avalanche situation is both dangerous and complex. Slabs of wind drifted snow and a significant new snow load overlying old weak snow means the possibility of encountering an avalanche in lots of different areas today both above and below treeline. Today is not a day to go big. Scale back terrain choices and slope angles. CONSIDERABLE avalanche danger exists at all elevations.",SAC
4,18,2020,"April 18, 2020 at 7:00 Little to no refreeze combined with warm weather and the potential for rain on snow means loose wet avalanches will be likely today. Some fresh slabs of wind drifted snow may also exist along the Sierra Crest above 8000 ft. Wet slabs also still warrant concern in some areas. The avalanche danger is CONSIDERABLE today.",SAC
4,6,2020,"April 6, 2020 at 6:59 The storm has left unstable slabs of wind drifted snow and softer slabs of storm snow on steep slopes in both exposed and sheltered terrain. Recreating on slopes where these problems exist could trigger avalanches. Give the snowpack time to adjust to the new load before heading onto steep slopes. Plenty of nice snow exists on lower angle sheltered terrain. Expect CONSIDERABLE avalanche danger near and above treeline with MODERATE danger below treeline.",SAC
3,25,2020,"March 25, 2020 at 6:51 Wind drifted new snow has formed into dangerous wind slabs in above treeline and near treeline terrain. Unstable snow in the form of storm slab or loose dry avalanches may be encountered in wind protected areas below treeline. CONSIDERABLE avalanche danger exists above treeline and near treeline with MODERATE avalanche danger below treeline.",SAC
3,17,2020,"March 17, 2020 at 7:00 Feet of new snow and shifting winds created dangerous avalanche conditions in the backcountry at all elevations. Human-triggered avalanches involving large slabs of drifted snow in wind-exposed areas and slabs of new snow in sheltered areas are likely today. In some places, deep slab avalanches involving all 5+ ft of the new snow failing on weak old snow are possible. Avalanche danger is CONSIDERABLE at all elevations. Be conservative and cautious in your terrain selection.",SAC
3,16,2020,"March 16, 2020 at 6:53 Dangerous avalanche conditions continue in the backcountry at all elevations with wind slab, storm slab, and deep slab avalanche problems. Terrain and route selections should be made deliberately and conservatively with the specific intention to manage today's avalanche problems. Avalanche danger is CONSIDERABLE at all elevations.",SAC
3,14,2020,"March 14, 2020 at 7:00 A strong winter storm has started to impact our area with high winds and heavy snow expected.  Wind slab and storm slab avalanches will become likely today at all elevations.  CONSIDERABLE avalanche danger will exist today with avalanche danger expected to rise to HIGH tomorrow as this storm continues.",SAC
3,3,2020,"March 3, 2020 at 6:59 Increased warming today means that loose wet avalanches will become likely on sunny slopes as the day warms up. Some fragile slabs of wind drifted snow may also still linger at on leeward aspects. CONSIDERABLE avalanche danger exists at all elevations.",SAC
3,1,2020,"March 1, 2020 at 7:02 Shifting winds and new snow mean that fresh slabs of wind drifted snow could exist on almost any exposed slopes today. In more sheltered areas soft slabs of new snow or loose cohesionless new snow may exist. Expect wind slab, storm slab, and loose dry avalanche problems today. CONSIDERABLE avalanche danger exists near and above treeline with MODERATE danger below treeline.",SAC
