Month,Day,Year,Message,Source
1,8,2017,"January 8, 2017 at 7:00 Natural and human triggered avalanches are certain today due to the significant amount of rain on snow expected below 9300 ft. and heavy wet snow loading above 9000 ft. Large, deep, destructive wet slab, deep slab, and wind slab avalanches will occur today as well as loose wet avalanches. Avalanches could run farther than expected and involve almost the entire snowpack. Avoid travel in or near avalanche terrain or runout zones today. EXTREME avalanche danger exists at all elevations.",sac
1,13,2024,"THE AVALANCHE DANGER IS HIGH, AND TRAVELING IN AVALANCHE TERRAIN IS NOT RECOMMENDED. DEADLY AND DANGEROUS AVALANCHE CONDITIONS EXIST ACROSS ALL ASPECTS AND ELEVATIONS. 

Later this afternoon, the avalanche danger will likely rise to EXTREME as we expect another storm that will usher in warming temperatures, strong winds, and heavy wet snowfall.",Utah
2,16,2021,"DANGEROUS AVALANCHE CONDITIONS WILL EXIST FOR THE NEXT SEVERAL DAYS. 


Today the avalanche danger is HIGH at mid and upper elevations. The danger may rise to EXTREME in some areas within the next day. The avalanche danger is CONSIDERABLE at low elevations. Avoid all avalanche terrain and avoid being under or near any steep slope. Even very small slopes can bury a person.
Heavy snowfall, strong westerly winds, and a weak faceted snowpack have created very dangerous avalanche conditions. Natural and human triggered avalanches are very likely. Even unusual avalanches are possible in atypical terrain on atypical aspects and elevations.  

Anybody going into or near the mountains today should avoid being near or under any steep slope - this includes skiing, snowshoeing, running, sledding, dog walking, etc.",Utah
2,15,2021,"DANGEROUS AVALANCHE CONDITIONS WILL EXIST FOR THE NEXT SEVERAL DAYS. 

Heavy snowfall and increasing winds have overloaded our weak faceted snow and created a HIGH avalanche danger. The danger may rise to EXTREME in some areas in the next day or two. Pay attention to changing weather - avalanche danger will increase as this storm intensifies. 
Natural and human triggered avalanches are very likely. Even unusual avalanches are possible in atypical terrain on atypical aspects and elevations.  



What to do? The only viable strategy today is to ride slopes less than 30 degrees in slope steepness, well out from under and not connected to slopes steeper than about 30 degrees.",Utah
2,14,2021,"DANGEROUS AVALANCHE CONDITIONS WILL EXIST FOR THE NEXT SEVERAL DAYS.  
The danger is estimated to be HIGH and may rise to EXTREME in some areas in the next day or two.
Natural and human triggered avalanches are expected.  Even unusual avalanches are possible in atypical terrain on atypical aspects and elevations.  
Travel Advice: Avoid being on or beneath steep slopes.",Utah
2,9,2014,"These are dangerous times.
The danger remains HIGH to EXTREME in many areas of the Wasatch Range.  All aspects and elevations continue to be dangerous. Backcountry travel is not recommended.  Those looking exiting mountain resorts into the ""Sidecountry"" are entering a HIGH to EXTREME danger.  With naturals again likely, you will be in danger even in the flats beneath steep avalanche paths...and it may be possible to pull the avalanche down on top of you.  
We need your help to relay the word that avalanche conditions are HIGH to EXTREME - friends, family, social media - you name it.  Thanks -",Utah
2,8,2014,"A HIGH AVALANCHE DANGER WILL BORDER ON EXTREME THIS WEEKEND.  I'M EXPECTING A GOOD NATURAL AND HUMAN TRIGGERED AVALANCHE CYCLE WITH LONGER RUNNING AVALANCHES EXPECTED IN MANY AREAS.  AVALANCHE RUNOUT ZONES ARE TO BE AVOIDED.  AVALANCHES MAY BE TRIGGERED AT A DISTANCE AND FROM BELOW.  ICE CLIMBING NOT RECOMMENDED.  
THOSE WITHOUT EXPERT LEVEL AVALANCHE AND ROUTE FINDING SKILLS SHOULD AVOID THE BACKCOUNTRY THIS WEEKEND.  SAFE AND EXCELLENT STEEP RIDING CAN BE ENJOYED AT ANY ONE OF OUR WORLD CLASS MOUNTAIN RESORTS.",Utah
1,13,2024,"THE AVALANCHE DANGER IS HIGH, AND TRAVELING IN AVALANCHE TERRAIN IS NOT RECOMMENDED. DEADLY AND DANGEROUS AVALANCHE CONDITIONS EXIST ACROSS ALL ASPECTS AND ELEVATIONS. 

Later this afternoon, the avalanche danger will likely rise to EXTREME as we expect another storm that will usher in warming temperatures, strong winds, and heavy wet snowfall.",Utah
2,17,2021,"DANGEROUS AVALANCHE CONDITIONS EXIST. AVOID ALL AVALANCHE TERRAIN 


Today the avalanche danger is EXTREME on all aspects and elevations. Avoid being under or near any steep slope. Even very small slopes can bury a person.
Heavy snowfall and a weak faceted snowpack have created very dangerous avalanche conditions. Natural and human-triggered avalanches are certain. Even unusual avalanches are possible in atypical terrain on atypical aspects and elevations.  

Anybody going into or near the mountains today should avoid being near or under any steep slope - this includes skiing, snowshoeing, running, sledding, dog walking, etc.",Utah
2,16,2021,"DANGEROUS AVALANCHE CONDITIONS EXIST. AVOID ALL AVALANCHE TERRAIN 


Today the avalanche danger is EXTREME at mid and upper elevations. The avalanche danger is HIGH at low elevations. Avoid being under or near any steep slope. Even very small slopes can bury a person.
Heavy snowfall, strong westerly winds, and a weak faceted snowpack have created very dangerous avalanche conditions. Natural and human triggered avalanches are certain. Even unusual avalanches are possible in atypical terrain on atypical aspects and elevations.  

Anybody going into or near the mountains today should avoid being near or under any steep slope - this includes skiing, snowshoeing, running, sledding, dog walking, etc.",Utah
