Month,Day,Year,Message,Source
12,31,2024,"a special avalanche advisory is in effect from 4:30 pm monday until 5 pm wednesday. avalanche conditions are dangerous. you can easily trigger avalanches large enough to injure or kill you. backcountry travelers triggered many avalanches from a distance or the bottom of steep slopes in the last few days. safe travel will require giving most slopes steeper than around 30 degrees wide buffers. be aware of steep terrain above you, even if you are in gentle or flat terrain. slopes where wind-drifting is occurring will be even more dangerous. this could occur in cross-loaded features, so avoid slopes below cornices and with obvious pillows of wind-drifted snow.",caic
12,29,2024,"An Avalanche Watch is in effect for the Summit County mountains and the Front Range. Very dangerous avalanche conditions develop overnight on Sunday, lasting through Monday. Strong winds and heavy snow will result in long-running natural avalanches and easy-to-trigger, large, dangerous avalanches. Travel in avalanche terrain is not recommended on Monday.On Sunday, backcountry travelers can easily trigger avalanches where the winds have drifted snow into thick slabs. Avalanches can also be triggered from the flats below steep slopes or adjacent low-angle slopes. Give wind-loaded slopes a wide berth. Slopes with recently wind-drifted snow are the most dangerous. Shooting cracks and audible collapses are obvious indications to avoid steep slopes.
An Avalanche Watch is in effect for the Summit County mountains and the Front Range. Very dangerous avalanche conditions develop overnight on Sunday, lasting through Monday. Strong winds and heavy snow will result in long-running natural avalanches and easy-to-trigger, large, dangerous avalanches. Travel in avalanche terrain is not recommended on Monday.
On Sunday, backcountry travelers can easily trigger avalanches where the winds have drifted snow into thick slabs. Avalanches can also be triggered from the flats below steep slopes or adjacent low-angle slopes. Give wind-loaded slopes a wide berth. Slopes with recently wind-drifted snow are the most dangerous. Shooting cracks and audible collapses are obvious indications to avoid steep slopes.",caic
12,28,2024,"backcountry travelers can  easily trigger avalanches on steep slopes. slopes with recently wind-drifted snow are the most dangerous. the strong winds may form drifts farther below ridgelines than you expect. they may be wrapped around terrain features in unusual ways. you will find drifted snow on some open slopes below treeline, too. drifts may be smooth, pillow-like, show textured scallops, or feel chalky and hard. shooting cracks and audible collapses are obvious indications to avoid steep slopes. choose wind-sheltered slopes or ones less than 30 degrees in steepness.",caic
12,27,2024,"you can easily trigger an avalanche on drifted slopes that face north through east to southeast at upper elevations. steep, drifted slopes below ridgelines are the most dangerous areas. you can recognize drifted slopes by their smooth, pillow-like appearance and fresh cornice development. if you trigger a slide in recently drifted snow it can easily step down and grow larger and more dangerous. if you notice obvious signs of instability like shooting cracks and audible collapses, then move to slopes sheltered from the wind or less than about 30 degrees.",caic
12,29,2024,"Another wet storm will enter our area with high elevation snow, rain, and strong winds.  Slabs of wind blown snow will form in gully features, below ridges, and in open terrain.  Sloughs of new snow could slide downhill on existing firm snow surfaces.  Dangerous avalanche conditions will exist today as more snow and wind impact our forecast region.",sac
12,24,2024,"New snow and wind will make avalanches more likely today, especially near ridges, in gullies, and on windy slopes where wind-blown snow accumulates. Avalanches may also be possible on steep, sheltered slopes where the new snow piles up too fast. It will take constant effort to carefully reassess the snow and terrain as you travel in today's rapidly changing conditions.",sac
12,16,2024,Many avalanches have occurred in the last 48 hours in our forecast region.  The recent storm snow overlies previous weak sugary surface snow that has led to large avalanches occurring.  Strong winds will continue to create slabs of wind blown snow in open areas.  Active loading of new snow and wind will occur today with avalanches remaining likely.,sac
12,15,2024,A strong storm cycle deposited heavy dense snow with strong winds and left us with multiple avalanche problems.  This new storm snow now exists over previous weak surface snow.  Strong winds have created slabs of wind blown snow in exposed areas.  Dangerous avalanche conditions could exist today with large and destructive avalanches occurring.,sac
12,13,2024,"There are numerous possibilities for avalanches today, both large and small. The areas of greatest avalanche danger exist in locations that received 8 or more inches of new snowfall over the past 24 hours. In some areas, this new snow was deposited on top of a weak old snow surface that could lead to complicated and dangerous avalanche problems. HIGH avalanche danger is expected for Saturday.",sac
12,12,2024,A rapid increase in avalanche danger is expected this morning. The greatest avalanche danger will occur in areas that receive 6 or more inches of new snowfall today. This new snow is depositing on top of a weak old snow surface that could lead to complicated and dangerous avalanche problems.,sac
11,26,2024,"Our current storm continues today with more heavy wet snow and strong winds.  In areas that have weak sugary snow near the base of the  snowpack, this heavy snow will add additional load with the potential for large avalanches.  Strong winds will continue to form slabs of wind blown snow in open areas.  Dangerous avalanche conditions could exist today.",sac
11,23,2024,"A heavy load of rain and new snow was added to the snowpack last night. You could trigger an avalanche easily large enough to bury a person today in a variety of areas, including below treeline. Take a cautious approach to travel near avalanche terrain today, anticipating an increased likelihood of triggering an avalanche.",sac
4,6,2024,This morning the avalanche danger is MODERATE and will likely rise to CONSIDERABLE during the afternoon as heavy snowfall and strong winds create unstable avalanche conditions. Loose-dry and soft slab avalanches failing within the new storm snow will be the predominant avalanche problems today.,Utah
4,4,2024,"The danger for wet avalanches will rapidly rise to CONSIDERABLE on all steep east to south to west facing aspects this morning.  With direct sun and skyrocketing temperatures, dangerous wet avalanche conditions can be expected on and below steep solar terrain. Mid and lower elevation shady terrain will also produce wet slides and a MODERATE danger with today's heat and greenhousing.  You may also find some pockets of shallow wind drifted snow along the highest elevation bands today.
Cornices and roof avalanches remain significant objective hazards.",Utah
4,3,2024,"The danger for wet avalanches will rapidly rise to CONSIDERABLE on all steep east to south to west facing aspects this morning.  With direct sun and skyrocketing temperatures, dangerous wet avalanche conditions can be expected on and below steep solar terrain. Mid and lower elevation shady terrain will also produce wet slides and a MODERATE danger with today's heat.  
Cornices and roof avalanches are objective hazards for today.",Utah
