Month,Day,Year,Message,Source
1,4,2021,"January 4, 2021 at 6:54 Rapid new snow loading, drifting snow from gale force winds, and the stressing of older weak layers within the existing snowpack will create very dangerous avalanche conditions today. Avoid travel in, below, or adjacent to avalanche terrain. A rapid increase to HIGH avalanche danger will occur for all elevations today.",sac
4,5,2020,"April 5, 2020 at 6:59 As the storm intensifies, heavy snow and gale-force winds will create very dangerous avalanche conditions in the backcountry today. Large unstable slabs of wind drifted snow and softer slabs of storm snow will exist on steep slopes in both exposed and sheltered terrain. During the day, the avalanche danger will increase to HIGH near and above treeline and CONSIDERABLE below treeline.
Travel in or below avalanche terrain is not recommended today.",sac
3,15,2020,"March 15, 2020 at 6:47 HIGH avalanche danger exists at all elevations in the backcountry at this time. Conditions are dangerous and travel in or below avalanche terrain is not recommended. This includes steep slopes below treeline.",sac
1,16,2020,"January 16, 2020 at 7:00 Dangerous avalanche conditions are expected in near treeline and below treeline areas today caused by rapid new snow loading of a problematic weak layer in the upper snowpack.  New snow and wind will also form unstable slabs of wind drifted snow in near treeline and above treeline areas. A rapid increase to HIGH avalanche danger is forecast for all elevations today with travel in avalanche terrain not recommended.",sac
12,7,2019,"December 7, 2019 at 6:59 An increase to HIGH avalanche danger is expected today in near treeline and above treeline areas due to new snow and wind drifted snow creating wind slabs and the potential for large avalanches. CONSIDERABLE avalanche danger is expected below treeline due to high intensity snowfall creating storm slabs. Travel in near treeline and above treeline avalanche terrain is not recommended. Travel in below treeline avalanche terrain will become increasingly dangerous as the day progresses. Lighting strikes are possible this afternoon.",sac
12,1,2019,"December 1, 2019 at 6:59 Warming temperatures, intense snow and rain, and strong winds have resulted in HIGH avalanche danger in near and above treeline terrain and CONSIDERABLE avalanche danger in below treeline terrain. The backcountry will hold a complex mix of wind slab, storm slab, and loose wet avalanche problems today.
Dangerous avalanche activity is very likely today. Travel in, near, or below avalanche terrain is not recommended.",sac
2,27,2019,"February 27, 2019 at 6:57 HIGH avalanche danger continues in near treeline and above treeline areas due to a wind slab avalanche problem. CONSIDERABLE avalanche danger continues below treeline due to a storm slab avalanche problem and isolated wind slabs. Natural and human triggered avalanche activity is expected. Travel in near treeline and above treeline avalanche terrain is not recommended.",sac
2,26,2019,"February 26, 2019 at 7:00 Gale force winds and periods of high-intensity snowfall (especially tonight) will keep HIGH avalanche danger in near and above treeline terrain. The avalanche danger is CONSIDERABLE in below treeline terrain. Avalanche activity is very likely. Travel in avalanche terrain is not recommended.",sac
2,25,2019,"February 25, 2019 at 18:00 A major Pacific storm will impact our forecast region tonight through Thursday.  HIGH avalanche danger will exist at all elevations throughout the night due to wind slab and storm slab avalanche problems.  Travel in, near, or below avalanche terrain is not recommended.",sac
2,16,2019,"February 16, 2019 at 6:45 HIGH avalanche danger continues for another 24 hours at all elevations. Travel in or below avalanche terrain is not recommended. Maintain awareness of your location relative to avalanche terrain and keep a wide margin for error. Remain clear of avalanche runout zones.",sac
2,15,2019,"February 15, 2019 at 6:49 HIGH avalanche danger continues for all elevations. Travel in or below avalanche terrain is not recommended. Maintain awareness of your location relative to avalanche terrain and keep a wide margin for error. Remain clear of avalanche runout zones.",sac
2,14,2019,"February 14, 2019 at 6:59 HIGH avalanche danger exists at all elevations. Dangerous and complex avalanche conditions exist. Natural avalanches are likely and human-triggered avalanches are very likely. Large destructive avalanches could occur. Travel in, near or below avalanche terrain is not recommended. Rain on snow could also cause dangerous roof-avalanches under roofs that have not already unloaded.",sac
2,13,2019,"February 13, 2019 at 6:56 The hazard will rise to HIGH avalanche danger today. Large natural avalanches will become likely and human triggered avalanches will be very likely today and tonight. Rain on snow, heavy snow, and gale force winds will create a complicated and dangerous mix of wind slab, storm slab, and loose wet avalanche problems at all elevations. Travel in, near or below avalanche terrain is not recommended. Rain on snow could also cause dangerous roof-avalanches as roofs still holding snow unload.",sac
2,9,2019,"February 9, 2019 at 16:28 HIGH avalanche danger is developing rapidly above and below treeline as the next wave of the current storm cycle moves into the region. Travel in or below avalanche terrain is not recommended. Please note that this forecast is valid until 7 am Sunday. The next update will occur by that time.",sac
2,4,2019,"February 4, 2019 at 6:50 HIGH avalanche danger will continue as a powerful winter storm impacts our forecast area today and through tonight.  Very dangerous avalanche conditions will exist.  Travel in, near, or below avalanche terrain is not recommended.",sac
2,3,2019,"February 3, 2019 at 6:58 HIGH avalanche danger will continue as the next storm impacts the forecast region today and through tonight.  Very dangerous avalanche conditions will exist.  Travel in or near avalanche terrain is not recommended.",sac
2,2,2019,"February 2, 2019 at 6:45 Avalanche danger will increase to HIGH danger this morning. Natural and human triggered avalanches are very likely today. Travel in or below avalanche terrain is not recommended.",sac
1,20,2019,"January 20, 2019 at 6:58CONSIDERABLE avalanche danger will exist through the morning and into the afternoon due to wind slab, storm slab, and deep slab avalanche problems.  As the storm intensifies this afternoon, avalanche danger will rise to HIGH and continue overnight.  Dangerous avalanche conditions will exist with large and destructive avalanches possible.  Travel in avalanche terrain is not recommended.",sac
1,17,2019,"January 17, 2019 at 6:59 HIGH avalanche danger exists at all elevations. Widespread, large destructive natural avalanche activity is likely and human-triggered avalanches are very likely. Very dangerous and complex avalanche conditions continue due to a mix of wind slabs, storm slabs, and deep persistent slabs. Travel in, below, or near avalanche terrain is not recommended.",sac
3,22,2018,"March 22, 2018 at 6:53 The avalanche danger is HIGH in near and above treeline terrain and CONSIDERABLE in below treeline terrain due to a complex mix of heavy snow, rain, wind, and changing snow levels. Natural avalanches are likely today and human triggered avalanches are very likely. Today's avalanche problems include wind slabs, storm slabs, and possible deep slabs.  Wet snow instability cannot be ruled out. Travel in, near, or below avalanche terrain is not recommended.",sac
3,16,2018,"March 16, 2018 at 6:57 HIGH avalanche danger exists for all elevations today due to widespread wind slab and storm slab avalanche problems and a possibility of isolated deep slab problems. Any avalanches that occur today could be very large and destructive and have very serious consequences. Travel in or near avalanche terrain or in lower angle terrain below avalanche terrain is not recommended.",sac
3,1,2018,"March 1, 2018 at 6:50 HIGH avalanche danger will occur today for all elevations. An avalanche warning is in effect through 7 am Friday. Travel in or below avalanche terrain is not recommended. If you choose to go out into the backcountry today, please create and closely follow a clear and detailed plan to travel only on slopes less than 30 degrees in slope angle without any exposure to steeper terrain above. Poor visibility may make navigation and terrain recognition very difficult.",sac
4,7,2017,"April 7, 2017 at 7:01 HIGH avalanche danger exists in near and above treeline terrain with CONSIDERABLE danger in below treeline areas due to wind slabs and storm slabs. Natural and human triggered avalanches are very likely today. Dangerous avalanche conditions exist in the backcountry today. Travel in avalanche terrain is not recommended.",sac
2,21,2017,"February 21, 2017 at 6:51 Areas of HIGH avalanche danger will continue to exist today at all elevations. Localized convective snow showers are expected to create periods of high intensity snowfall. Widespread avalanche activity occurred yesterday and likely continued to occur last night. Wind slabs and storm slabs remain ongoing avalanche problems.
Travel in or below avalanche terrain is not recommended. Avoid avalanche runout zones.",sac
2,7,2017,"February 7, 2017 at 6:50 HIGH avalanche danger exists above 8,500' with CONSIDERABLE danger below 8,500'. Wind slab, wet slab, and wet loose avalanche problems are expected today. Travel in or below backcountry avalanche terrain or on or below slopes steeper than 35 degrees is not recommended today. Be aware of avalanche run out zones and the potential for large avalanches coming from high above. An avalanche warning remains in effect until 7 am Wednesday February 8, 2017.",sac
1,22,2017,"January 22, 2017 at 6:59 HIGH avalanche danger exists at all elevations. Due to heavy snow, intense snowfall rates, and gale force winds human triggered wind slab avalanches and storm slab avalanches will be very likely today and natural avalanches will be likely. Some avalanches could be large, deep, and destructive. Travel in or near avalanche terrain or in the runout zones of avalanche paths is not recommended.",sac
1,11,2017,"January 11, 2017 at 6:45 HIGH avalanche danger continues for all elevations and aspects due to a combination of wind slab, storm slab, and deep slab avalanche problems. Travel in avalanche terrain, on or below slopes 30 degrees and steeper is not recommended. Avalanches could run into areas of mature forest. A backcountry avalanche warning remains in effect through 5 pm today.",sac
1,10,2017,"January 10, 2017 at 6:51 HIGH avalanche danger exists for all elevations and aspects due to a combination of wind slab, storm slab, and deep slab avalanche problems. Travel in avalanche terrain, on or below slopes 30 degrees and steeper is not recommended. Avalanches could run into areas of mature forest. A backcountry avalanche warning is in effect through at least 7 am Wednesday.",sac
1,7,2017,"January 7, 2017 at 7:00 UPDATED @ 1:30PM 
Due to snow levels rising sooner than expected, natural and human triggered avalanches are likely this afternoon and tonight. Large destructive deep slabs, wind slabs, and wet slabs that run long distances are likely as more rain and snow impact the region. Very dangerous avalanche conditions exist. Travel in or near avalanche terrain is not recommended. The avalanche danger has increased to HIGH at all elevations due to rain, wind, and snow impacting the region.",sac
1,4,2017,"January 4, 2017 at 6:48 HIGH avalanche danger exists at all elevations today. Natural and human triggered avalanches are likely in a variety of areas. Large destructive avalanches could occur. A complex mix of wind slab, storm slab, and deep slab avalanche problems exist. The majority of avalanche activity today is expected on slopes 35 degrees and steeper but could occur on slopes 30 degrees and steeper in isolated areas. A Backcountry Avalanche Warning is in effect until 7 am Thursday.",sac
3,13,2016,"March 13, 2016 at 7:05 HIGH avalanche danger is expected today near treeline and above treeline on NW-N-NE-E-SE aspects on slopes 35 degrees and steeper, especially along the Sierra Crest due to ongoing formation of wind slabs and storm slabs. For all other areas CONSIDERABLE avalanche danger exists on slopes 35 degrees and steeper. Natural and human triggered avalanches are expected today and should not be a surprise to backcountry travelers.Travel in or below avalanche terrain is not recommended. Large destructive avalanches may occur.",sac
3,7,2016,"March 7, 2016 at 6:56On the heels of another period of HIGH avalanche danger last night, CONSIDERABLE avalanche danger will exist today near and above treeline on all aspects on slopes 35 degrees and steeper due to ongoing wind slab formation. In wind protected areas below treeline, MODERATE avalanche danger exists on slopes 35 degrees and steeper due to potential storm slabs. Large human triggered avalanches remain likely today. Natural avalanches are possible.",sac
3,6,2016,"March 6, 2016 at 6:45Following a period of HIGH avalanche danger last night, CONSIDERABLE avalanche danger will exist today near and above treeline on all aspects on slopes 35 degrees and steeper due to newly formed wind slabs. In wind protected areas below treeline, MODERATE avalanche danger exists on slopes 35 degrees and steeper due to storm slabs. Large human triggered avalanches are likely today. Another period of HIGH avalanche danger is expected tonight into early tomorrow morning with natural avalanches likely.",sac
2,9,2014,"February 9, 2014 at 6:19Near treeline and above treeline, avalanche danger remains HIGH on NW-N-NE-E-SE aspects on slopes 32 degrees and steeper. For all other areas, avalanche danger is CONSIDERABLE on slopes 32 degrees and steeper. Wind slab, storm slab, and deep persistent slab avalanches are all possible today.",sac
2,8,2014,"February 8, 2014 at 6:18Near treeline and above treeline, avalanche danger is HIGH on NW-N-NE-E-SE aspects on slopes 32 degrees and steeper. For all other areas, avalanche danger is CONSIDERABLE on slopes 32 degrees and steeper. Wind slab, storm slab, wet slab, loose wet, and deep persistent slab avalanches are all possible today.",sac
12,30,2024,an avalanche warning is in effect for the 10 mile range and mountains around loveland and berthoud passes. heavy snowfall and strong wind will create very dangerous avalanche conditions beginning sunday evening and lasting through monday. travel in avalanche terrain is not recommended during this time.,caic
12,14,2024,"A natural avalanche cycle is expected today. Avalanches large enough to bury people, possibly large enough to break trees, are likely in a variety of backcountry areas. Travel in, near, or below backcountry avalanche terrain is not recommended.",sac
2,7,2024,"UPDATE 1:36 PM: Avalanches are happening now. Strong winds and heavy snowfall have overloaded the mountains. The avalanche danger has reached HIGH danger and traveling in avalanche terrain is NOT recommended. 

The avalanche danger is CONSIDERABLE across the mid and upper elevations for several avalanche problems. Pick your poison: Hard and soft slabs of wind-drifted snow. Soft slabs of new snow. Or you could trigger an avalanche that fails on a buried persistent weak layer. It's complicated and very dangerous.

In any case, the avalanche you trigger is likely a few hundred feet wide and could be 2 to 4 feet deep.",Utah
